"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0000352","16a-Hydroxydehydroisoandrosterone","HMDB0000352","102030","27771","C05139","5341","C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C[C@H](C4=O)O)C)O","1"
"HMDB0000359","3a,7a-Dihydroxycoprostanic acid","HMDB0000359","53477686",NA,"C04554","5348","C[C@H](CCCC(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000363","17a-Hydroxypregnenolone","HMDB0000363","91451","28750","C05138","5352","CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O","1"
"HMDB0000374","17-Hydroxyprogesterone","HMDB0000374","6238","17252","C01176","5363","CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O","1"
"HMDB0000375","3-(3-Hydroxyphenyl)propanoic acid","HMDB0000375","91","1427","C11457","5364","OC(=O)CCC1=CC(O)=CC=C1","1"
"HMDB0000379","2-Methylcitric acid","HMDB0000379","515","30835","C02225","5368","CC(C(O)=O)C(O)(CC(O)=O)C(O)=O","1"
"HMDB0000405","2-Methoxyestradiol","HMDB0000405","66414","28955","C05302","5394","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O","1"
"HMDB0000425","3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid","HMDB0000425","22833524",NA,NA,"5414","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CC(=O)C(O)=O","1"
"HMDB0000448","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"HMDB0000450","procollagen 5-hydroxy-L-lysine","HMDB0000450","4433","18040","C16741","5439","NC[C@H](O)CC[C@H](N)C(O)=O","1"
"HMDB0000452","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"HMDB0000462","Allantoin","HMDB0000462","204","15676","C01551","89","NC(=O)NC1NC(=O)NC1=O","1"
"HMDB0000464","Calcium","HMDB0000464","271","29108","C00076",NA,"[Ca++]","1"
"HMDB0000472","5-Hydroxy-L-tryptophan","HMDB0000472","439280","17780","C00643",NA,"N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"HMDB0000482","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(=O)O","1"
"HMDB0000490","Etiocholanolone","HMDB0000490","5880","28195","C04373","5477","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O","1"
"HMDB0000491","3-Methyl-2-oxovaleric acid","HMDB0000491","47","35932","C00671","5478","CCC(C)C(=O)C(O)=O","1"
"HMDB0000492","Chloride ion","HMDB0000492","312","17996","C00698",NA,"[Cl-]","1"
"HMDB0000500","4-Hydroxybenzoic acid","HMDB0000500","135","30763","C00156","5486","OC(=O)C1=CC=C(O)C=C1","1"
"HMDB0000508","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"HMDB0000510","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"HMDB0000511","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(=O)O","1"
"HMDB0000517","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB0000518","Chenodeoxycholic acid","HMDB0000518","10133","16755","C02528","207","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000521","5Z-Tetradecenoic acid","HMDB0000521","5312400","70716",NA,"5506","CCCCCCCC/C=C\CCCC(=O)O","1"
"HMDB0000538","Adenosine triphosphate","HMDB0000538","5957","15422","C00002","5523","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0000554","Dihydroandrosterone","HMDB0000554","15818","36713",NA,"5538","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O","1"
"HMDB0000561","B-Carotene","HMDB0000561","5280489","17579","C02094","5545","CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C","1"
"HMDB0000562","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"HMDB0000568","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"HMDB0000570","Coproporphyrin III","HMDB0000570",NA,"27609","C05770","5553","CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C)=C4CCC(O)=O)/C(CCC(O)=O)=C3C","1"
"HMDB0000573","Elaidic acid","HMDB0000573","637517","27997","C01712","3406","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"HMDB0000574","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"HMDB0000586","Potassium","HMDB0000586","813","29103","C00238","3197","[K+]","1"
"HMDB0000588","Sodium","HMDB0000588","923","29101","C01330","3192","[Na+]","1"
"HMDB0000595","Hydrogen carbonate","HMDB0000595","767","28976","C01353","6944","OC(O)=O","1"
"HMDB0000619","Cholic acid","HMDB0000619","221493","16359","C00695","206","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"HMDB0000621","D-Ribulose","HMDB0000621","12358756","17173","C00309","5594","OC[C@@]1(O)OC[C@@H](O)[C@H]1O","1"
"HMDB0000625","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"HMDB0000626","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000630","Cytosine","HMDB0000630","597","16040","C00380","283","NC1=CC=NC(=O)N1","1"
"HMDB0000637","Chenodeoxycholic acid glycine conjugate","HMDB0000637","22833540",NA,"C05466","5610","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000638","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"HMDB0000641","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"HMDB0000643","Coproporphyrin I","HMDB0000643",NA,"28421","C05769","5616","CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CCC(O)=O)=C4C)/C(CCC(O)=O)=C3C","1"
"HMDB0000646","L-Arabinose","HMDB0000646","439195","17535","C02479","5474","O[C@H]1COC(O)[C@H](O)[C@H]1O","1"
"HMDB0000648","Galactosylsphingosine","HMDB0000648","5280458","16874","C01747","5620","CCCCCCCCCCCCC/C=C/C(C(COC1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)N)O","1"
"HMDB0000651","Decanoylcarnitine","HMDB0000651","10245190","68830",NA,"5623","CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000653","Cholesterol sulfate","HMDB0000653","65076","41321","C18043","5625","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C","1"
"HMDB0000660","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"HMDB0000661","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"HMDB0000663","Glucaric acid","HMDB0000663","33037","16002","C00818","5633","O=C(O)(O)(O)(O)(O)C(=O)O","1"
"HMDB0000666","Heptanoic acid","HMDB0000666","8094","45571","C17714","5636","CCCCCCC(=O)O","1"
"HMDB0000669","Ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","28478","C05852","5639","OC(=O)CC1=C(O)C=CC=C1","1"
"HMDB0000673","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"HMDB0000675","Iodine","HMDB0000675","807","17606","C01382",NA,"II","1"
"HMDB0000678","Isovalerylglycine","HMDB0000678","546304","70984",NA,"5647","CC(C)CC(=O)NCC(O)=O","1"
"HMDB0000684","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"HMDB0000687","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"HMDB0000688","Isovalerylcarnitine","HMDB0000688","6426851","73025",NA,"5657","CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000691","Malonic acid","HMDB0000691","867","30794","C04025","3237","O=C(O)CC(=O)O","1"
"HMDB0000692","Fe2+","HMDB0000692","27284","29033","C14818",NA,"[Fe++]","1"
"HMDB0000695","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"HMDB0000696","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"HMDB0000699","1-Methylnicotinamide","HMDB0000699","457","16797","C02918","5667","C[N+]1=CC=CC(=C1)C(N)=O","1"
"HMDB0000700","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"HMDB0000707","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","15999","C01179","5675","OC(=O)C(=O)CC1=CC=C(O)C=C1","1"
"HMDB0000708","Glycoursodeoxycholic acid","HMDB0000708","12310288","542261",NA,"5676","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000714","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"HMDB0000715","Kynurenic acid","HMDB0000715","3845","18344","C01717","5683","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"HMDB0000716","L-Pipecolic acid","HMDB0000716","439227","30913","C00408","5684","OC(=O)[C@@H]1CCCCN1","1"
"HMDB0000719","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"HMDB0000721","Glycylproline","HMDB0000721","79101","70744",NA,"5689","NCC(=O)N1CCC[C@H]1C(O)=O","1"
"HMDB0000722","Lithocholyltaurine","HMDB0000722","53477716","36259","C02592","5690","C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CCC2[C@@]1(CCC3C2CCC4[C@@]3(CC[C@H](C4)O)C)C","1"
"HMDB0000725","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"HMDB0000730","Isobutyrylglycine","HMDB0000730","10855600","70979",NA,"5698","CC(C)C(=O)NCC(O)=O","1"
"HMDB0000731","Cysteine-S-sulfate","HMDB0000731","115015","27891","C05824",NA,"N[C@@H](CSS(O)(=O)=O)C(O)=O","1"
"HMDB0000742","L-Homocysteine","HMDB0000742","91552","17588","C00155","3256","N[C@@H](CCS)C(O)=O","1"
"HMDB0000745","Homocarnosine","HMDB0000745","10243361","85981","C00884","270","NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"HMDB0000749","Mesaconic acid","HMDB0000749","643798","16600","C01732","4130","C/C(=C\C(=O)O)/C(=O)O","1"
"HMDB0000751","L-Threo-2-pentulose","HMDB0000751","89810215","17399","C00312","5719","OC[C@]1(O)OC[C@H](O)[C@H]1O","1"
"HMDB0000754","3-Hydroxyisovaleric acid","HMDB0000754","69362","37084","C20827","5722","CC(C)(CC(=O)O)O","1"
"HMDB0000755","Hydroxyphenyllactic acid","HMDB0000755","9378","17385","C03672","5723","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"HMDB0000759","Glycylleucine","HMDB0000759","92843","73514","C02155","5727","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"HMDB0000760","Hyocholic acid","HMDB0000760","131750324",NA,NA,"5728","[H][C@@]12CCC([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)[C@H](O)[C@]2([H])C[C@H](O)CC[C@]12C","1"
"HMDB0000761","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000763","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"HMDB0000772","Nonadecanoic acid","HMDB0000772","12591","39246","C16535","5738","CCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB0000774","Pregnenolone sulfate","HMDB0000774","20845972",NA,NA,"5740","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)OS(=O)(=O)O)C)C","1"
"HMDB0000784","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","C(CCCC(=O)O)CCCC(=O)O","1"
"HMDB0000791","L-Octanoylcarnitine","HMDB0000791","11953814","18102","C02838",NA,"CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000792","Sebacic acid","HMDB0000792","5192","41865","C08277","4240","C(CCCCC(=O)O)CCCC(=O)O","1"
"HMDB0000795","Pristanic acid","HMDB0000795","123929","51340",NA,"5760","CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O","1"
"HMDB0000801","Phytanic acid","HMDB0000801","26840","16285","C01607","5765","CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O","1"
"HMDB0000806","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"HMDB0000812","N-Acetyl-L-aspartic acid","HMDB0000812","65065","21547","C01042","5776","CC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000819","Normetanephrine","HMDB0000819","1237","144308","C05589","66","COC1=CC(=CC=C1O)C(O)CN","1"
"HMDB0000821","Phenylacetylglycine","HMDB0000821","68144","27480","C05598","4237","OC(=O)CNC(=O)CC1=CC=CC=C1","1"
"HMDB0000824","Propionylcarnitine","HMDB0000824","107738","28867","C03017","5787","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000826","Pentadecanoic acid","HMDB0000826","13849","42504","C16537","5789","CCCCCCCCCCCCCCC(=O)O","1"
"HMDB0000827","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB0000828","Ureidosuccinic acid","HMDB0000828","93072","15859","C00438","5791","NC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000847","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(=O)O","1"
"HMDB0000854","Formiminoglutamic acid","HMDB0000854","439233","7274","C00439","5817","OC(=O)CC[C@H](NC=N)C(O)=O","1"
"HMDB0000855","Nicotinamide riboside","HMDB0000855","439924","15927","C03150","5818","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"HMDB0000870","Histamine","HMDB0000870","774","18295","C00388","68","NCCC1=CNC=N1","1"
"HMDB0000874","Tauroursodeoxycholic acid","HMDB0000874","12443252",NA,NA,"5835","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000876","Vitamin D3","HMDB0000876","5280795","283119","C05443","222","C[C@H](CCCC(C)C)[C@H]1CCC\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C","1"
"HMDB0000879","Tetrahydrodeoxycorticosterone","HMDB0000879","101771","805752","C13713","5840","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","1"
"HMDB0000881","Xanthurenic acid","HMDB0000881","5699","10072","C02470","5841","OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1","1"
"HMDB0000883","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"HMDB0000892","Valeric acid","HMDB0000892","7991","17418","C00803","110","CCCCC(=O)O","1"
"HMDB0000893","Suberic acid","HMDB0000893","10457","9300","C08278","4243","C(CCCC(=O)O)CCC(=O)O","1"
"HMDB0000895","Acetylcholine chloride","HMDB0000895","6060","15355","C01996","57","CC(=O)OCC[N+](C)(C)C","1"
"HMDB0000898","1-Methylhistamine","HMDB0000898","3614","29009","C05127","5854","CN1C=NC(CCN)=C1","1"
"HMDB0000899","Androstanedione","HMDB0000899","222865","15994","C00674","5855","C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","1"
"HMDB0000902","NADH","HMDB0000902","5893","44215","C00003","5858","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"HMDB0000904","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"HMDB0000905","Deoxyadenosine monophosphate","HMDB0000905","12599","17713","C00360","3461","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"HMDB0000910","Tridecanoic acid","HMDB0000910","656741","45919","C17076","5866","CCCCCCCCCCCCC(=O)O","1"
"HMDB0000929","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0000935","Uridine diphosphate glucuronic acid","HMDB0000935","17473","17200","C00167","5884","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","1"
"HMDB0000936","Uroporphyrin I","HMDB0000936",NA,"27484","C05767","5885","OC(=O)CCC1=C(CC(O)=O)/C2=C/C3=N/C(=C\C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CC(O)=O)=C4CCC(O)=O)/C(CC(O)=O)=C3CCC(O)=O","1"
"HMDB0000939","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"HMDB0000944","Behenic acid","HMDB0000944","8215","28941","C08281","260","CCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB0000947","Undecanoic acid","HMDB0000947","8180","32368","C17715","5894","CCCCCCCCCCC(=O)O","1"
"HMDB0000951","Taurochenodesoxycholic acid","HMDB0000951","387316","16525","C05465","5897","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000960","dGDP","HMDB0000960","439220","28862","C00361","5906","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1","1"
"HMDB0000961","Farnesyl pyrophosphate","HMDB0000961","445713","17407","C00448","403","CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C","1"
"HMDB0000965","Hypotaurine","HMDB0000965","107812","16668","C00519","281","NCCS(O)=O","1"
"HMDB0000972","N10-Formyl-THF","HMDB0000972","135450591","15637","C00234","5912","NC1=NC(=O)C2=C(NCC(CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1","1"
"HMDB0000975","Trehalose","HMDB0000975","7427","16551","C01083","5913","OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB0000978","4-(2-Aminophenyl)-2,4-dioxobutanoic acid","HMDB0000978","472","17442","C01252","5916","NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O","1"
"HMDB0000985","Dihydrolipoamide","HMDB0000985","663","17694","C00579","5920","C(CCC(=O)N)CC(CCS)S","1"
"HMDB0000988","S-Adenosylmethioninamine","HMDB0000988","439415","15625","C01137","3501","C[S+](CCCN)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"HMDB0000990","Aldehyde","HMDB0000990","3371","15343","C00084","3200","CC=O","1"
"HMDB0000998","dCTP","HMDB0000998","65091","16311","C00458","5929","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"HMDB0001000","dUDP","HMDB0001000","145729","28850","C01346","5931","O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"HMDB0001003","Adenosine phosphosulfate","HMDB0001003","10238","17709","C00224","5933","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0001011","Methacrylyl-CoA","HMDB0001011","440021","27754","C03460","5941","CC(=C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"HMDB0001018","UDP-D-Xylose","HMDB0001018","439179","16082","C00190","5948","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OC2OC[C@@H](O)[C@H](O)[C@H]2O)OC([C@@H]1O)N1C=CC(=O)NC1=O","1"
"HMDB0001022","Succinyl-CoA","HMDB0001022","439161","15380","C00091","5951","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O","1"
"HMDB0001023","4,4-Dimethylcholesta-8,14,24-trienol","HMDB0001023","443212","17813","C11455","5952","C[C@H](CCC=C(C)C)[C@H]1CC=C2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C","1"
"HMDB0001031","Deoxyribose 5-phosphate","HMDB0001031","45934311","16132","C00673","5956","O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"HMDB0001032","Dehydroepiandrosterone sulfate","HMDB0001032","12594","16814","C04555","4095","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C","1"
"HMDB0001041","2-Methylbutyryl-CoA","HMDB0001041","439371","15477","C15980","5960","CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"HMDB0001043","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"HMDB0001047","D-Fructose 2,6-bisphosphate","HMDB0001047","105021","28602","C00665","5964","OC[C@@]1(OP(O)(O)=O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"HMDB0001049","gamma-Glutamylcysteine","HMDB0001049","123938","17515","C00669","5966","N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O","1"
"HMDB0001051","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","OCC(O)C=O","1"
"HMDB0001052","(S)-3-Hydroxyisobutyryl-CoA","HMDB0001052","88","28259","C06000","453","CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"HMDB0001056","Dihydrofolic acid","HMDB0001056","98792","15633","C00415","5970","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2)N1","1"
"HMDB0001057","3-Methylglutaconyl-CoA","HMDB0001057","5462214","15488","C03231","5971","C/C(=C\C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)/CC(=O)O","1"
"HMDB0001059","Inositol 1,3,4,5-tetraphosphate","HMDB0001059","107758","16783","C01272","5973","O[C@H]1C(OP(O)(O)=O)[C@H](O)[C@@H](OP(O)(O)=O)C(OP(O)(O)=O)[C@H]1OP(O)(O)=O","1"
"HMDB0001064","Linoleoyl-CoA","HMDB0001064","5462164","15530","C02050","5977","CCCCC/C=C/C/C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"HMDB0001070","Octanoyl-CoA","HMDB0001070","380","15533","C01944","5982","CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"HMDB0001072","Coenzyme Q10","HMDB0001072","5926222","46245","C11378","5983","CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C","1"
"HMDB0001080","4-Aminobutyraldehyde","HMDB0001080","118","17769","C02903","3225","NCCCC=O","1"
"HMDB0001084","D-1-Piperideine-2-carboxylic acid","HMDB0001084","1194","30912","C04092","5992","OC(=O)C1=NCCCC1","1"
"HMDB0001085","Leukotriene B4","HMDB0001085","5283128","15647","C02165","406","CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O","1"
