metabs,BIGG,HMDB_comp,name,formula,formula_det,inchi,super_class,class,sub_class,CID
HMDB0000145,estrone_c,HMDB0000145_c,Estrone,C18H22O2,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5870
HMDB0000145,estrone_e,HMDB0000145_e,Estrone,C18H22O2,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5870
HMDB0000148,glu_L_c,HMDB0000148_c,L-Glutamate,C5H8NO4,[H][N+]([H])([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",33032
HMDB0000148,glu_L_l,HMDB0000148_l,L-Glutamate,C5H8NO4,[H][N+]([H])([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",33032
HMDB0000148,glu_L_r,HMDB0000148_r,L-Glutamate,C5H8NO4,[H][N+]([H])([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",33032
HMDB0000148,glu_L_e,HMDB0000148_e,L-Glutamate,C5H8NO4,[H][N+]([H])([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",33032
HMDB0000148,glu_L_m,HMDB0000148_m,L-Glutamate,C5H8NO4,[H][N+]([H])([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",33032
HMDB0000149,etha_c,HMDB0000149_c,Ethanolamine,C2H8NO,[H]OC([H])([H])C([H])([H])[N+]([H])([H])[H],"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",Organic nitrogen compounds,Organonitrogen compounds,Amines,700
HMDB0000149,etha_e,HMDB0000149_e,Ethanolamine,C2H8NO,[H]OC([H])([H])C([H])([H])[N+]([H])([H])[H],"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",Organic nitrogen compounds,Organonitrogen compounds,Amines,700
HMDB0000151,estradiol_e,HMDB0000151_e,Estradiol,C18H24O2,[H]OC1=C([H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5757
HMDB0000151,estradiol_c,HMDB0000151_c,Estradiol,C18H24O2,[H]OC1=C([H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5757
HMDB0000151,estradiol_r,HMDB0000151_r,Estradiol,C18H24O2,[H]OC1=C([H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5757
HMDB0000152,HC00460_e,HMDB0000152_e,"2,5-Dihydroxybenzoate",C7H5O4,[H]OC1=C([H])C(C([O-])=O)=C(O[H])C([H])=C1[H],"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)/p-1",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,3469
HMDB0000152,HC00460_c,HMDB0000152_c,"2,5-Dihydroxybenzoate",C7H5O4,[H]OC1=C([H])C(C([O-])=O)=C(O[H])C([H])=C1[H],"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)/p-1",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,3469
HMDB0000153,estriol_r,HMDB0000153_r,Estriol,C18H24O3,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H],"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5756
HMDB0000153,estriol_c,HMDB0000153_c,Estriol,C18H24O3,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H],"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5756
HMDB0000153,estriol_e,HMDB0000153_e,Estriol,C18H24O3,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H],"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,5756
HMDB0000156,mal_L_m,HMDB0000156_m,(S)-Malate,C4H4O5,[H]O[C@]([H])(C([O-])=O)C([H])([H])C([O-])=O,"InChI=1/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,222656
HMDB0000156,mal_L_x,HMDB0000156_x,(S)-Malate,C4H4O5,[H]O[C@]([H])(C([O-])=O)C([H])([H])C([O-])=O,"InChI=1/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,222656
HMDB0000156,mal_L_c,HMDB0000156_c,(S)-Malate,C4H4O5,[H]O[C@]([H])(C([O-])=O)C([H])([H])C([O-])=O,"InChI=1/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,222656
HMDB0000156,mal_L_e,HMDB0000156_e,(S)-Malate,C4H4O5,[H]O[C@]([H])(C([O-])=O)C([H])([H])C([O-])=O,"InChI=1/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,222656
HMDB0000157,hxan_e,HMDB0000157_e,Hypoxanthine,C5H4N4O,[H]N1C([H])=NC2=C1C(=O)N([H])C([H])=N2,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,790
HMDB0000157,hxan_c,HMDB0000157_c,Hypoxanthine,C5H4N4O,[H]N1C([H])=NC2=C1C(=O)N([H])C([H])=N2,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,790
HMDB0000157,hxan_x,HMDB0000157_x,Hypoxanthine,C5H4N4O,[H]N1C([H])=NC2=C1C(=O)N([H])C([H])=N2,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,790
HMDB0000158,tyr_L_c,HMDB0000158_c,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000158,tyr_L_c,HMDB0000158_c,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6057
HMDB0000158,tyr_L_m,HMDB0000158_m,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000158,tyr_L_m,HMDB0000158_m,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6057
HMDB0000158,tyr_L_e,HMDB0000158_e,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000158,tyr_L_e,HMDB0000158_e,L-Tyrosine,C9H11NO3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6057
HMDB0000159,phe_L_e,HMDB0000159_e,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6140
HMDB0000159,phe_L_e,HMDB0000159_e,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000159,phe_L_m,HMDB0000159_m,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6140
HMDB0000159,phe_L_m,HMDB0000159_m,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000159,phe_L_c,HMDB0000159_c,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6140
HMDB0000159,phe_L_c,HMDB0000159_c,L-Phenylalanine,C9H11NO2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000161,ala_L_e,HMDB0000161_e,L-Alanine,C3H7NO2,[H]C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000161,ala_L_m,HMDB0000161_m,L-Alanine,C3H7NO2,[H]C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000161,ala_L_c,HMDB0000161_c,L-Alanine,C3H7NO2,[H]C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000161,ala_L_x,HMDB0000161_x,L-Alanine,C3H7NO2,[H]C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000162,pro_L_e,HMDB0000162_e,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000162,pro_L_e,HMDB0000162_e,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",145742
HMDB0000162,pro_L_m,HMDB0000162_m,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000162,pro_L_m,HMDB0000162_m,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",145742
HMDB0000162,pro_L_c,HMDB0000162_c,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000162,pro_L_c,HMDB0000162_c,L-Proline,C5H9NO2,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",145742
HMDB0000163,malt_l,HMDB0000163_l,Maltose,C12H22O11,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,6255
HMDB0000163,malt_e,HMDB0000163_e,Maltose,C12H22O11,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,6255
HMDB0000163,malt_c,HMDB0000163_c,Maltose,C12H22O11,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,6255
HMDB0000164,mma_e,HMDB0000164_e,Methylammonium,C1H6N,[H]C([H])([H])[N+]([H])([H])[H],"InChI=1S/CH5N/c1-2/h2H2,1H3/p+1",Organic nitrogen compounds,Organonitrogen compounds,Amines,6329
HMDB0000164,mma_c,HMDB0000164_c,Methylammonium,C1H6N,[H]C([H])([H])[N+]([H])([H])[H],"InChI=1S/CH5N/c1-2/h2H2,1H3/p+1",Organic nitrogen compounds,Organonitrogen compounds,Amines,6329
HMDB0000167,thr_L_e,HMDB0000167_e,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000167,thr_L_e,HMDB0000167_e,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6288
HMDB0000167,thr_L_m,HMDB0000167_m,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000167,thr_L_m,HMDB0000167_m,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6288
HMDB0000167,thr_L_c,HMDB0000167_c,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000167,thr_L_c,HMDB0000167_c,L-Threonine,C4H9NO3,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",6288
HMDB0000168,asn_L_e,HMDB0000168_e,L-Asparagine,C4H8N2O3,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000168,asn_L_m,HMDB0000168_m,L-Asparagine,C4H8N2O3,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000168,asn_L_c,HMDB0000168_c,L-Asparagine,C4H8N2O3,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA
HMDB0000169,man_c,HMDB0000169_c,D-Mannose,C6H12O6,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,18950
HMDB0000169,man_e,HMDB0000169_e,D-Mannose,C6H12O6,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,18950
HMDB0000169,man_l,HMDB0000169_l,D-Mannose,C6H12O6,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,18950
